Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Estimates Start After
Kyrgyz Republic	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	207.786	148.019	247.705	324.963	397.881	373.276	348.302	259.839	277.988	307.069	326.782	378.312	431.209	474.083	540.586	719.832	959.655	864.362	877.368	"1,116.37"	"1,166.28"	"1,269.43"	"1,266.38"	"1,112.81"	2015
Lao P.D.R.	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	310.213	177.884	173.998	310.325	432.59	529.381	360.023	246.569	156.138	187.485	215.548	246.71	274.825	300.988	340.482	385.837	392.316	362.171	249.877	268.42	291.735	286.142	298.565	361.865	416.57	469.187	601.787	701.239	861.968	890.638	"1,069.75"	"1,236.24"	"1,414.46"	"1,593.59"	"1,717.97"	"1,786.94"	2012
Latvia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	632.545	"1,021.65"	"1,723.99"	"2,162.22"	"2,416.10"	"2,668.37"	"2,964.06"	"3,139.06"	"3,335.65"	"3,547.24"	"4,112.48"	"5,105.58"	"6,309.34"	"7,525.22"	"9,618.96"	"13,985.66"	"16,292.11"	"12,119.62"	"11,217.84"	"13,696.12"	"13,720.09"	"14,921.73"	"15,639.87"	"13,573.04"	2015
Lebanon	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,597.85"	"1,538.80"	"1,053.46"	"1,451.65"	"1,716.06"	"1,417.26"	"1,088.52"	"1,260.38"	"1,252.56"	"1,016.43"	"1,050.10"	"1,617.32"	"1,965.33"	"2,597.53"	"3,062.41"	"3,665.37"	"4,232.27"	"5,090.90"	"5,552.03"	"5,513.69"	"5,330.99"	"5,240.26"	"5,430.42"	"5,351.76"	"5,438.37"	"5,339.09"	"5,342.64"	"5,936.77"	"6,887.70"	"8,274.29"	"8,755.85"	"9,143.86"	"9,966.39"	"10,654.63"	"11,066.71"	"11,157.45"	2012
Lesotho	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	324.582	321.067	260.511	279.238	254.598	198.725	222.764	277.982	307.095	310.317	364.078	407.389	454.495	443.182	457.747	489.582	467.133	491.331	451.573	441.924	428.64	391.803	356.394	528.278	671.724	746.565	787.322	885.142	875.041	911.464	"1,179.27"	"1,326.98"	"1,256.58"	"1,184.51"	"1,151.72"	"1,057.40"	2006
Liberia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	191.866	194.278	199.165	158.525	180.642	205.604	223.636	274.466	311.671	314.991	341.984	397.384	438.98	480.705	480.496	473.549	2009
Libya	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"13,031.83"	"10,762.56"	"10,247.11"	"9,371.01"	"8,411.48"	"8,319.67"	"6,524.78"	"5,815.61"	"5,795.81"	"5,881.53"	"7,193.54"	"7,776.95"	"7,703.53"	"6,780.86"	"6,192.59"	"6,882.21"	"7,372.45"	"7,424.95"	"5,980.04"	"7,067.88"	"7,388.14"	"6,485.16"	"3,833.57"	"4,831.42"	"5,988.39"	"8,467.72"	"9,659.64"	"11,711.14"	"14,836.13"	"10,574.99"	"12,377.53"	"5,858.51"	"13,035.78"	"10,539.74"	"7,096.50"	"6,276.57"	2014
Lithuania	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"1,845.66"	"2,328.20"	"2,830.74"	"3,166.98"	"3,113.63"	"3,297.45"	"3,530.21"	"4,146.12"	"5,505.61"	"6,706.00"	"7,880.32"	"9,246.51"	"12,313.20"	"15,047.29"	"11,866.64"	"12,010.70"	"14,381.00"	"14,348.36"	"15,696.88"	"16,528.56"	"14,180.15"	2015
Luxembourg	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"17,831.91"	"15,332.10"	"12,580.55"	"12,349.05"	"12,096.32"	"12,514.15"	"18,134.79"	"22,360.45"	"25,111.92"	"26,477.79"	"33,378.44"	"35,688.33"	"39,438.78"	"39,859.61"	"43,717.45"	"51,189.75"	"50,187.16"	"44,622.61"	"46,066.65"	"49,801.62"	"49,442.19"	"47,996.03"	"52,676.49"	"65,275.21"	"75,589.98"	"80,308.43"	"89,428.61"	"105,825.34"	"114,522.93"	"102,359.18"	"104,459.34"	"114,791.14"	"106,730.53"	"115,101.44"	"118,208.84"	"102,716.56"	2015
Macao SAR	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"15,611.37"	"16,622.92"	"18,346.73"	"22,881.00"	"24,969.88"	"28,805.63"	"34,083.97"	"38,086.69"	"39,615.32"	"50,920.89"	"65,870.82"	"73,932.69"	"84,854.58"	"87,272.58"	"71,394.16"	2015
FYR Macedonia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"1,263.86"	"1,383.54"	"1,824.42"	"2,387.16"	"2,348.11"	"1,980.43"	"1,888.76"	"1,931.99"	"1,878.24"	"1,839.62"	"1,974.06"	"2,440.81"	"2,796.62"	"3,071.90"	"3,359.61"	"4,076.30"	"4,838.15"	"4,579.09"	"4,576.23"	"5,174.89"	"4,728.27"	"5,239.72"	"5,477.65"	"4,870.81"	2015
Madagascar	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	462.086	400.199	382.453	371.145	302.587	286.316	317.449	242.877	224.537	222.92	266.884	225.006	244.673	266.592	228.295	234.888	287.765	247.437	252.756	243.816	246.283	278.987	262.742	317.421	245.67	275.516	292.991	379.067	472.379	417.178	414.143	456.329	444.959	462.46	452.81	402.067	2006
Malawi	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	326.983	318.032	295.582	298.052	284.324	254.768	251.755	232.783	251.93	272.96	298.716	371.869	300.049	343.226	197.546	227.197	363.682	414.359	264.97	261.557	250.462	240.396	272.824	245.144	259.727	267.785	284.729	306.9	358.416	405.62	442.765	493.843	359.588	317.471	343.979	353.804	2011
Malaysia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,899.98"	"1,893.24"	"1,978.38"	"2,158.89"	"2,385.62"	"2,124.29"	"1,837.93"	"2,041.02"	"2,182.86"	"2,347.18"	"2,549.61"	"2,844.90"	"3,331.39"	"3,664.87"	"3,971.09"	"4,612.50"	"5,103.04"	"4,941.36"	"3,470.47"	"3,710.07"	"4,286.83"	"4,130.38"	"4,379.64"	"4,673.91"	"5,171.42"	"5,599.05"	"6,264.42"	"7,378.59"	"8,646.57"	"7,439.44"	"8,920.48"	"10,252.59"	"10,655.46"	"10,699.66"	"11,009.10"	"9,500.52"	2015
Maldives	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	412.508	464.914	534.906	560.243	646.388	737.78	835.636	769.824	897.934	987.814	"1,091.55"	"1,184.66"	"1,343.01"	"1,479.45"	"1,591.14"	"1,903.13"	"2,107.61"	"2,553.95"	"2,658.80"	"2,842.60"	"2,967.20"	"2,780.45"	"2,952.22"	"3,660.22"	"4,153.10"	"3,812.16"	"4,932.63"	"5,727.05"	"6,815.67"	"6,828.02"	"7,259.49"	"7,132.55"	"7,608.16"	"8,290.04"	"8,944.76"	"8,969.28"	2014
Mali	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	301.547	241.753	209.516	198.468	194.538	192.574	263.615	303.073	300.283	361.232	404.662	404.072	405.319	393.935	293.944	371.28	370.445	339.016	342.614	345.191	288.755	328.353	358.676	420.035	471.067	523.887	560.317	641.022	745.658	752.801	764.957	901.036	838.158	865.914	912.649	804.357	2010
Malta	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"9,112.70"	"9,242.62"	"9,294.52"	"9,774.36"	"10,134.74"	"10,675.72"	"10,391.67"	"11,338.42"	"13,649.16"	"15,126.47"	"15,898.36"	"16,754.94"	"19,584.63"	"22,116.12"	"20,806.32"	"21,150.42"	"23,050.78"	"22,194.87"	"24,180.33"	"25,281.10"	"22,713.20"	2014
Marshall Islands	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"2,154.98"	"2,171.25"	"2,122.47"	"2,164.76"	"2,278.62"	"2,509.21"	"2,539.52"	"2,601.18"	"2,691.06"	"2,789.76"	"2,896.75"	"2,911.50"	"2,909.74"	"3,097.42"	"3,253.63"	"3,455.29"	"3,551.20"	"3,473.62"	"3,380.13"	2013
Mauritania	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	608.102	677.983	694.818	576.823	590.49	617.47	611.881	578.045	549.551	547.431	489.512	476.237	472.953	542.357	617.684	716.665	"1,053.06"	"1,100.95"	"1,275.40"	"1,146.23"	"1,322.34"	"1,537.26"	"1,513.10"	"1,618.22"	"1,525.90"	"1,311.73"	2012
Mauritius	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,306.10"	"1,274.69"	"1,155.38"	"1,185.40"	"1,136.51"	"1,046.51"	"1,307.07"	"1,728.28"	"2,090.32"	"2,169.15"	"2,368.59"	"2,794.00"	"2,908.51"	"3,269.49"	"3,254.32"	"3,716.21"	"3,856.15"	"3,903.70"	"3,758.13"	"3,753.97"	"3,932.49"	"3,853.15"	"4,102.74"	"5,021.00"	"5,232.41"	"5,089.20"	"5,070.96"	"6,777.26"	"6,870.02"	"7,726.77"	"7,833.63"	"8,811.15"	"8,935.64"	"9,479.88"	"10,018.81"	"9,141.65"	2015
Mexico	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"3,384.03"	"4,247.01"	"3,014.28"	"2,404.88"	"2,776.58"	"2,885.36"	"1,956.82"	"2,102.46"	"2,520.39"	"3,010.06"	"3,423.16"	"4,031.23"	"4,597.09"	"5,502.39"	"5,666.70"	"3,638.61"	"4,144.93"	"4,943.77"	"5,097.50"	"5,811.60"	"6,775.81"	"7,096.31"	"7,170.54"	"6,811.34"	"7,270.02"	"8,085.29"	"8,918.71"	"9,504.48"	"9,894.73"	"7,930.26"	"9,199.80"	"10,124.10"	"10,137.24"	"10,659.08"	"10,844.09"	"9,452.40"	2010
Micronesia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"2,097.40"	"2,062.91"	"1,945.27"	"2,061.30"	"2,065.75"	"2,178.77"	"2,247.67"	"2,268.49"	"2,306.71"	"2,259.37"	"2,363.51"	"2,408.23"	"2,450.64"	"2,523.36"	"2,694.18"	"2,874.24"	"2,995.37"	"3,138.86"	"3,045.24"	"3,072.16"	"3,072.69"	2013
Moldova	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	198.206	255.516	266.221	331.658	391.073	446.575	464.123	321.025	360.724	407.379	458.104	547.371	720.168	830	949.454	"1,228.99"	"1,694.74"	"1,524.24"	"1,631.28"	"1,971.03"	"2,046.16"	"2,243.28"	"2,243.97"	"1,821.94"	2015
Mongolia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"1,511.90"	"1,554.37"	847.333	413.624	491.546	759.578	693.874	600.954	564.587	523.931	555.894	612.187	664.493	748.712	919.836	"1,149.84"	"1,583.69"	"2,053.61"	"3,039.74"	"2,205.59"	"2,608.31"	"3,736.04"	"4,328.89"	"4,365.31"	"4,168.84"	"3,946.25"	2014
Montenegro	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"1,607.73"	"1,886.71"	"2,089.11"	"2,776.05"	"3,373.86"	"3,673.42"	"4,382.67"	"5,965.41"	"7,360.42"	"6,714.91"	"6,694.34"	"7,325.66"	"6,590.43"	"7,189.15"	"7,389.89"	"6,409.22"	2014
Morocco	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,137.93"	900.402	885.725	782.048	698.712	688.863	888.61	957.49	"1,108.52"	"1,115.01"	"1,255.25"	"1,316.49"	"1,348.52"	"1,242.94"	"1,373.34"	"1,479.16"	"1,607.63"	"1,433.45"	"1,505.17"	"1,474.32"	"1,365.10"	"1,368.56"	"1,447.27"	"1,763.66"	"1,998.19"	"2,066.25"	"2,250.08"	"2,562.86"	"2,967.15"	"2,947.81"	"2,926.67"	"3,149.43"	"3,021.52"	"3,251.62"	"3,311.76"	"3,002.50"	2015
Mozambique	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	444.797	337.264	336.635	295.418	302.875	396.187	463.218	209.547	184.504	192.13	304.385	231.543	151.715	152.109	159.082	157.934	210.628	242.999	271.933	290.316	255.35	243.134	257.603	279.204	330.198	361.492	382	423.366	502.5	475.416	429.948	524.891	589.818	604.999	619.907	529.243	2013
Myanmar	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	164.282	213.121	221.19	159.448	165.585	254.094	254.995	287.488	345.622	477.873	704.11	770.211	996.632	"1,196.92"	"1,181.92"	"1,179.58"	"1,278.71"	"1,212.77"	2015
Namibia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"2,109.53"	"2,034.92"	"2,071.00"	"1,922.82"	"2,100.28"	"2,197.59"	"2,126.35"	"2,143.73"	"1,837.31"	"1,874.47"	"2,139.71"	"1,939.79"	"1,811.25"	"2,607.86"	"3,440.97"	"3,708.79"	"4,007.73"	"4,378.56"	"4,198.55"	"4,340.18"	"5,410.98"	"5,870.93"	"6,038.86"	"5,791.91"	"5,748.12"	"5,041.11"	2008
Nepal	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	132.833	151.833	149.97	160.346	165.745	168.266	179.056	181.701	209.537	206.965	207.789	221.515	195.897	204.717	208.23	220.453	221.927	235.935	229.746	231.763	241.392	244.019	243.745	254.449	288.67	320.697	350.609	396.133	476.553	483.403	595.395	699.48	685.497	692.303	709.661	747.785	2012
Netherlands	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"13,393.89"	"11,150.92"	"10,751.92"	"10,428.36"	"9,669.18"	"9,765.64"	"13,534.00"	"16,469.92"	"17,500.59"	"17,141.77"	"21,001.57"	"21,467.19"	"23,577.51"	"22,766.61"	"24,307.22"	"28,910.83"	"28,708.64"	"26,437.58"	"27,572.80"	"27,988.59"	"25,996.36"	"26,607.26"	"28,919.20"	"35,313.25"	"40,008.33"	"41,647.99"	"44,493.25"	"51,311.40"	"57,197.22"	"52,033.16"	"50,433.31"	"53,589.91"	"49,501.99"	"51,591.95"	"52,240.30"	"44,322.83"	2015
New Zealand	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"7,203.52"	"7,458.19"	"7,326.45"	"7,022.03"	"6,919.02"	"6,904.40"	"8,326.06"	"11,123.33"	"13,561.12"	"13,015.69"	"13,362.89"	"12,394.73"	"11,709.92"	"12,452.03"	"14,489.36"	"16,780.02"	"18,363.66"	"18,117.43"	"14,826.78"	"15,285.87"	"13,973.52"	"13,560.65"	"15,549.81"	"20,303.72"	"24,688.69"	"27,206.07"	"26,079.22"	"31,779.86"	"31,668.81"	"28,090.82"	"33,233.47"	"37,984.32"	"39,671.68"	"41,554.62"	"43,469.96"	"37,066.06"	2015
Nicaragua	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	847.294	888.947	906.57	906.268	939.777	967.874	"1,002.22"	"1,031.16"	996.002	"1,001.67"	"1,076.64"	"1,159.79"	"1,203.68"	"1,306.62"	"1,469.41"	"1,432.24"	"1,475.80"	"1,626.85"	"1,719.45"	"1,772.79"	"1,902.22"	"2,024.29"	2014
Niger	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	461.461	386.192	346.882	299.592	234.733	223.986	286.747	325.893	322.586	298.892	329.645	299.573	291.834	267.092	181.67	197.222	204.042	181.717	200.646	188.226	159.262	164.117	180.912	223.506	237.287	263.809	275.521	312.751	382.36	368.278	378.205	410.743	431.37	462.028	482.493	406.592	2009
Nigeria	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	686.475	645.45	546.094	577.535	792.81	"1,273.27"	"1,618.29"	"1,713.38"	"1,861.07"	496.495	570.17	598.294	748.313	797.64	982.976	"1,245.07"	"1,591.33"	"1,822.79"	"2,234.36"	"1,958.58"	"2,365.01"	"2,582.57"	"2,797.86"	"3,042.05"	"3,268.39"	"2,763.14"	2012
Norway	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"15,748.33"	"15,486.75"	"15,197.90"	"14,907.06"	"14,974.23"	"15,732.94"	"18,858.18"	"22,447.28"	"24,145.36"	"24,248.74"	"28,188.52"	"28,521.83"	"30,445.41"	"27,808.67"	"29,227.80"	"34,793.77"	"37,225.39"	"36,565.45"	"34,720.82"	"36,285.35"	"38,067.18"	"38,504.48"	"42,975.50"	"49,775.55"	"57,444.59"	"66,643.39"	"73,930.33"	"84,904.37"	"96,499.70"	"79,786.85"	"87,309.30"	"100,171.70"	"101,169.35"	"102,573.67"	"97,066.57"	"74,597.99"	2015
Oman	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"4,517.62"	"5,075.91"	"5,326.45"	"5,184.30"	"5,332.66"	"5,923.99"	"4,396.55"	"4,338.62"	"4,216.87"	"4,450.83"	"6,128.23"	"5,716.45"	"6,054.21"	"5,858.45"	"5,868.90"	"6,105.80"	"6,611.12"	"6,698.88"	"5,776.84"	"6,355.38"	"7,872.03"	"7,700.64"	"7,833.60"	"8,273.04"	"9,312.26"	"11,525.26"	"13,535.93"	"14,952.44"	"21,272.15"	"16,203.97"	"19,698.23"	"22,622.78"	"22,922.61"	"21,752.78"	"22,007.84"	"16,699.23"	2015
Pakistan	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	384.903	442.248	469.603	426.343	450.321	438.242	436.97	445.062	500.318	508.699	496.018	551.238	565.908	583.723	573.819	654.036	666.473	641.578	624.132	617.625	583.324	557.617	545.551	614.479	705.69	776.731	875.399	935.295	"1,032.66"	993.401	"1,026.63"	"1,212.19"	"1,241.68"	"1,259.57"	"1,312.43"	"1,427.56"	2015
Palau	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	"7,884.68"	"8,332.21"	"8,445.88"	"8,196.12"	"8,914.13"	"9,749.69"	"9,870.48"	"10,129.66"	"10,432.39"	"10,003.95"	"10,051.61"	"11,135.98"	"12,160.53"	"13,045.78"	"14,167.93"	"16,070.42"	2014
Panama	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,038.17"	"2,252.05"	"2,429.95"	"2,437.81"	"2,487.42"	"2,573.29"	"2,616.16"	"2,571.63"	"2,176.56"	"2,137.26"	"2,276.28"	"2,450.20"	"2,726.97"	"2,916.29"	"3,046.04"	"3,050.72"	"3,524.10"	"3,731.10"	"3,963.41"	"4,070.42"	"4,046.46"	"4,029.98"	"4,106.47"	"4,244.18"	"4,565.10"	"4,886.41"	"5,315.84"	"6,029.79"	"6,931.12"	"7,387.09"	"7,896.91"	"9,230.78"	"10,549.09"	"11,648.74"	"12,517.55"	"13,012.56"	2013
Papua New Guinea	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,404.85"	"1,342.35"	"1,244.66"	"1,215.43"	"1,098.37"	992.937	"1,057.89"	"1,180.00"	"1,592.38"	"1,480.33"	"1,287.93"	"1,469.26"	"1,573.47"	"1,743.47"	"1,866.89"	"1,609.13"	"1,668.29"	"1,554.00"	"1,158.16"	"1,030.84"	"1,025.04"	877.089	850.612	"1,012.58"	"1,111.44"	"1,264.81"	"1,403.68"	"1,558.71"	"1,863.84"	"1,822.20"	"2,151.07"	"2,609.69"	"2,967.49"	"2,878.30"	"2,898.26"	"2,744.83"	2012
Paraguay	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,299.66"	"1,608.46"	"1,636.53"	"1,762.99"	"1,390.89"	"1,154.15"	"1,335.76"	"1,084.70"	"1,392.42"	977.835	"1,185.28"	"1,585.24"	"1,592.06"	"1,580.21"	"1,681.40"	"1,897.13"	"2,008.19"	"2,003.58"	"1,778.17"	"1,620.56"	"1,550.95"	"1,422.95"	"1,153.26"	"1,179.93"	"1,413.95"	"1,511.25"	"1,811.41"	"2,308.91"	"3,047.44"	"2,582.97"	"3,199.48"	"3,944.46"	"3,806.71"	"4,416.19"	"4,638.74"	"4,102.30"	2014
Peru	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,165.21"	"1,373.52"	"1,332.89"	"1,012.06"	"1,019.12"	861.88	"1,264.14"	"2,041.32"	"1,580.06"	"1,909.08"	"1,301.89"	"1,532.42"	"1,565.54"	"1,516.37"	"1,904.88"	"2,233.44"	"2,281.70"	"2,364.13"	"2,233.59"	"1,989.19"	"2,023.43"	"2,016.36"	"2,094.96"	"2,236.88"	"2,488.83"	"2,754.27"	"3,179.55"	"3,621.08"	"4,243.80"	"4,165.73"	"5,027.22"	"5,730.75"	"6,395.67"	"6,625.96"	"6,583.79"	"6,167.74"	2015
Philippines	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	752.815	806.599	819.872	715.13	659.363	627.535	597.839	648.255	723.483	794.104	805.632	806.935	919.701	922.189	"1,062.28"	"1,200.43"	"1,276.66"	"1,240.77"	960.71	"1,080.95"	"1,055.12"	970.377	"1,014.94"	"1,024.77"	"1,093.48"	"1,208.93"	"1,405.21"	"1,683.69"	"1,919.11"	"1,851.07"	"2,155.41"	"2,363.88"	"2,591.36"	"2,768.61"	"2,844.06"	"2,862.90"	2015
Poland	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,591.91"	"1,494.90"	"1,799.92"	"2,052.91"	"2,038.03"	"1,896.08"	"1,961.68"	"1,687.80"	"1,815.82"	"1,768.61"	"1,625.84"	"2,101.35"	"2,311.09"	"2,347.12"	"2,687.41"	"3,605.16"	"4,058.18"	"4,067.96"	"4,450.33"	"4,339.60"	"4,476.25"	"4,978.05"	"5,195.28"	"5,691.34"	"6,643.23"	"7,974.84"	"8,996.29"	"11,256.83"	"13,909.50"	"11,454.23"	"12,599.84"	"13,884.47"	"13,154.58"	"13,772.68"	"14,332.13"	"12,492.22"	2015
Portugal	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"3,334.97"	"3,304.99"	"3,101.54"	"2,841.63"	"2,599.40"	"2,716.48"	"3,772.51"	"4,718.59"	"5,525.32"	"5,967.66"	"7,941.03"	"9,010.20"	"10,841.26"	"9,530.90"	"9,970.96"	"11,791.40"	"12,188.04"	"11,598.40"	"12,220.99"	"12,491.23"	"11,536.13"	"11,739.25"	"12,927.92"	"15,802.94"	"18,070.02"	"18,817.16"	"19,838.81"	"22,811.56"	"24,933.16"	"23,122.57"	"22,580.68"	"23,217.36"	"20,588.89"	"21,625.50"	"22,159.44"	"19,117.28"	2014
